City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
306,Lorengau,PG,-2.0226,147.2712,81.07,77,97,4.94,overcast clouds,2021-01-28 20:12:20
307,Calabozo,VE,8.9242,-67.4293,94.57,30,0,7.81,clear sky,2021-01-28 20:14:38
308,Kragero,NO,58.8693,9.4149,16.0,90,0,1.99,clear sky,2021-01-28 20:14:38
309,Narsaq,GL,60.9167,-46.05,44.6,31,75,24.16,broken clouds,2021-01-28 20:14:38
310,Ambilobe,MG,-13.2,49.05,76.15,88,94,1.88,light rain,2021-01-28 20:14:38
311,Kismayo,SO,-0.3582,42.5454,77.76,83,0,14.0,clear sky,2021-01-28 20:14:38
312,Najran,SA,17.4924,44.1277,66.2,24,0,4.61,clear sky,2021-01-28 20:12:40
313,Codrington,AU,-38.2667,141.9667,65.23,94,100,12.17,light rain,2021-01-28 20:12:20
314,Sol-Iletsk,RU,51.1631,54.9918,19.35,93,100,13.91,overcast clouds,2021-01-28 20:14:39
315,Murray Bridge,AU,-35.1167,139.2667,61.0,92,36,7.83,scattered clouds,2021-01-28 20:14:39
316,Garden City,US,42.3256,-83.331,25.0,58,90,10.36,overcast clouds,2021-01-28 20:14:39
317,Imbituba,BR,-28.24,-48.6703,78.8,89,75,10.36,heavy intensity rain,2021-01-28 20:11:37
318,Thanh Hoa,VN,19.8,105.7667,58.33,82,1,1.23,clear sky,2021-01-28 20:14:26
319,Grindavik,IS,63.8424,-22.4338,24.8,68,0,2.3,clear sky,2021-01-28 20:14:40
320,Ingham,US,42.6,-84.3833,23.0,58,90,10.36,overcast clouds,2021-01-28 20:14:40
321,Mana,GF,5.6592,-53.7767,79.48,72,82,9.64,broken clouds,2021-01-28 20:14:40
322,Pacific Grove,US,36.6177,-121.9166,55.4,71,75,8.05,broken clouds,2021-01-28 20:13:46
323,Deniliquin,AU,-35.5333,144.9667,64.0,83,100,1.01,overcast clouds,2021-01-28 20:14:40
324,Bestobe,KZ,52.4994,73.0975,21.65,93,100,19.84,overcast clouds,2021-01-28 20:14:40
325,Ixtapa,MX,20.7,-105.2,80.6,54,75,9.22,broken clouds,2021-01-28 20:14:41
326,Coquimbo,CL,-29.9533,-71.3436,66.2,68,0,11.5,clear sky,2021-01-28 20:10:17
327,Kawambwa,ZM,-9.7915,29.0791,64.11,91,98,2.8,overcast clouds,2021-01-28 20:14:41
328,Paracuru,BR,-3.41,-39.0306,82.0,76,93,15.99,overcast clouds,2021-01-28 20:12:17
329,Mattru,SL,7.6244,-11.8332,79.25,71,0,5.3,clear sky,2021-01-28 20:14:41
330,Pushkino,RU,56.0172,37.8667,32.0,100,90,13.42,light snow,2021-01-28 20:14:41
331,Ilulissat,GL,69.2167,-51.1,10.4,48,1,9.22,clear sky,2021-01-28 20:13:09
332,Hailar,CN,49.2,119.7,-20.99,85,100,8.12,overcast clouds,2021-01-28 20:14:42
333,Abu Kamal,SY,34.4506,40.9171,52.54,64,32,0.43,scattered clouds,2021-01-28 20:12:06
334,Thompson,CA,55.7435,-97.8558,-4.0,84,75,4.61,broken clouds,2021-01-28 20:14:42
335,Opuwo,NA,-18.0607,13.84,72.3,68,100,9.89,light rain,2021-01-28 20:14:42
336,Willmar,US,45.1219,-95.0433,21.2,79,90,18.41,haze,2021-01-28 20:14:42
337,Vasteras,SE,59.6162,16.5528,26.6,86,90,14.97,light snow,2021-01-28 20:14:43
338,Diamantina,BR,-18.2494,-43.6003,73.87,57,41,7.96,scattered clouds,2021-01-28 20:14:43
339,Saint-Francois,FR,46.4154,3.9054,53.6,87,90,5.75,overcast clouds,2021-01-28 20:14:43
340,Alofi,NU,-19.0595,-169.9187,77.0,94,90,10.36,moderate rain,2021-01-28 20:14:43
341,Ahipara,NZ,-35.1667,173.1667,62.74,66,62,15.95,broken clouds,2021-01-28 20:14:43
342,Hobyo,SO,5.3505,48.5268,76.96,71,60,19.84,broken clouds,2021-01-28 20:13:13
343,Bandarbeyla,SO,9.4942,50.8122,73.74,74,0,16.46,clear sky,2021-01-28 20:14:43
344,Billings,US,45.7833,-108.5007,44.6,33,75,3.44,broken clouds,2021-01-28 20:10:29
345,Ijuin,JP,31.6167,130.4,41.0,52,40,17.27,scattered clouds,2021-01-28 20:14:44
346,Morant Bay,JM,17.8815,-76.4093,84.99,65,20,8.05,few clouds,2021-01-28 20:14:44
347,Springbok,ZA,-29.6643,17.8865,67.95,35,0,4.59,clear sky,2021-01-28 20:12:40
348,Platanos,GR,37.6667,21.6167,39.2,75,20,3.44,few clouds,2021-01-28 20:14:44
349,Nikolskoye,RU,59.7035,30.7861,33.8,86,75,8.95,light snow,2021-01-28 20:07:56
350,Kabanjahe,ID,3.1001,98.4908,77.0,100,40,4.61,mist,2021-01-28 20:14:44
351,Coffs Harbour,AU,-30.3,153.1333,69.8,94,75,3.44,broken clouds,2021-01-28 20:14:44
352,Pendleton,US,45.6721,-118.7886,48.2,61,90,12.66,light rain,2021-01-28 20:14:45
