City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Camacha,PT,60.8,mist,33.0833,-16.3333,Hotel Porto Santo & Spa
393,Paita,PE,84.2,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
396,Trinidad,BO,82.22,light rain,-14.8333,-64.9,Hotel Piesta
397,Sao Filipe,CV,75.58,clear sky,14.8961,-24.4956,Tortuga B&B
398,Simbahan,PH,81.72,clear sky,6.3032,120.5836,
399,Acarau,BR,83.7,light rain,-2.8856,-40.12,castelo pizzaria
404,Saint Simons,US,60.01,clear sky,31.1352,-81.3901,Holiday Inn Express Saint Simons Island
407,Yulara,AU,84.2,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
409,Barreirinhas,BR,82.2,heavy intensity rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
410,Wenceslau Braz,BR,75.0,moderate rain,-23.8739,-49.8028,Hotel Santa Maria
411,Kuching,MY,75.2,light rain,1.55,110.3333,Hilton Kuching
418,Maningrida,AU,76.33,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
419,Omboue,GA,77.47,overcast clouds,-1.5746,9.2618,Hotel Olako
420,Caraubas,BR,89.6,few clouds,-5.7925,-37.5567,Pousada Veículos
421,Mayor Pablo Lagerenza,PY,89.22,overcast clouds,-19.9309,-60.7718,
422,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
423,Pijijiapan,MX,97.0,overcast clouds,15.7011,-93.23,Hotel Rosita
425,Port Hueneme,US,62.6,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
426,Lilongwe,MW,71.53,light rain,-13.9669,33.7873,Spendwise furnished apartments.
428,Kasongo-Lunda,CD,70.81,scattered clouds,-6.4667,16.8167,
429,San Quintin,MX,62.2,overcast clouds,30.4833,-115.95,Old Mill Hotel
432,Porto Walter,BR,86.65,clear sky,-8.2686,-72.7439,Secretaria de saúde
434,Salinopolis,BR,82.18,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
437,Ulladulla,AU,64.4,light rain,-35.35,150.4667,Sandpiper Motel
441,Nazca,PE,89.58,clear sky,-14.8333,-74.95,Casa Andina Standard Nasca
444,Holguin,CU,87.8,scattered clouds,20.8872,-76.2631,Casa Cables. Holguín
449,Gaoua,BF,80.11,clear sky,10.2992,-3.2508,
450,Inhambane,MZ,82.4,light rain,-23.865,35.3833,Oceano
451,Labuhan,ID,77.34,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
452,Ponta Delgada,PT,64.0,broken clouds,37.7333,-25.6667,Vila Nova Hotel
